rank,genome_id,parent_structure_id,screening_status,scoring_profile,score_backend,score,decision_band,fabrication_complexity_score,null_risk_score,coherence_uplift,null_separation,detectability_margin,geometry_scaling_clarity,fabrication_robustness,replication_portability,simulation_confidence,standard_lab_feasibility,reject_reason
1,GEN-003,STR-EM-LID-HIS,prioritized,broadband,baseline_surrogate_v1,0.7831834795321637,lead_branch,4,3,0.8125,0.7777777777777778,0.9612499999999999,0.5866666666666667,0.6666666666666667,0.8500000000000001,0.75,0.87,
2,GEN-001,STR-EM-CPW-EBG-RING,prioritized,broadband,baseline_surrogate_v1,0.7785960851202081,lead_branch,3,4,0.7300000000000001,0.6666666666666667,0.9112500000000001,0.8833333333333334,0.7777777777777778,0.65,0.75,0.95,
3,GEN-002,STR-EM-CPW-EBG-RING,prioritized,broadband,baseline_surrogate_v1,0.7201376705653022,primary_screen,4,5,0.68,0.5555555555555556,0.8062500000000001,0.8833333333333334,0.6666666666666667,0.72,0.75,0.87,
4,GEN-018,STR-EM-LID-HIS,screening,broadband,baseline_surrogate_v1,0.7095317576348278,primary_screen,3,3,0.6525000000000001,0.7777777777777778,0.66125,0.5866666666666667,0.7777777777777778,0.8,0.75,0.95,
5,GEN-005,STR-PH-SOI-JJ-PHC,prioritized,broadband,baseline_surrogate_v1,0.7081883528265108,primary_screen,7,4,0.76,0.6666666666666667,0.8662500000000002,0.8833333333333334,0.33333333333333337,0.58,0.75,0.6299999999999999,
6,GEN-007,STR-PH-SOI-FULLCAP-PHC,prioritized,broadband,baseline_surrogate_v1,0.694304743339831,primary_screen,8,5,0.8575,0.5555555555555556,0.94,0.8833333333333334,0.2222222222222222,0.45999999999999996,0.75,0.4699999999999999,
7,GEN-006,STR-PH-SOI-JJ-PHC,prioritized,broadband,baseline_surrogate_v1,0.6827408219623132,primary_screen,6,4,0.6875,0.6666666666666667,0.79375,0.8833333333333334,0.4444444444444444,0.45999999999999996,0.75,0.63,
8,GEN-009,STR-PH-GRADED-SINK,prioritized,broadband,baseline_surrogate_v1,0.6036354775828461,primary_screen,4,3,0.45499999999999996,0.7777777777777778,0.42,0.7633333333333334,0.6666666666666667,0.53,0.65,0.79,
9,GEN-010,STR-PH-GRADED-SINK,screening,broadband,baseline_surrogate_v1,0.5941293047433398,sandbox_only,5,4,0.5249999999999999,0.6666666666666667,0.4,0.7633333333333334,0.5555555555555556,0.65,0.65,0.7899999999999999,
10,GEN-016,STR-HYB-BILAYER-INTERPOSER,sandbox,broadband,baseline_surrogate_v1,0.5759827810266407,sandbox_only,9,7,0.7975,0.33333333333333337,0.7550000000000001,0.5833333333333334,0.11111111111111116,0.65,0.85,0.47,
11,GEN-008,STR-PH-SOI-FULLCAP-PHC,screening,broadband,baseline_surrogate_v1,0.5752225471085121,sandbox_only,9,6,0.6275000000000001,0.4444444444444444,0.675,0.8833333333333334,0.11111111111111116,0.58,0.75,0.47,
12,GEN-017,STR-CTRL-BANDSTOP-INTERPOSER,screening,broadband,baseline_surrogate_v1,0.5600162443144899,sandbox_only,5,5,0.46249999999999997,0.5555555555555556,0.4,0.7633333333333334,0.5555555555555556,0.65,0.65,0.7899999999999999,
13,GEN-013,STR-VX-ANTIDOT-LATTICE,prioritized,broadband,baseline_surrogate_v1,0.502043534762833,reject,2,3,0.1125,0.7777777777777778,0.18,0.5833333333333334,0.8888888888888888,0.72,0.55,0.95,below_detectability_gate
14,GEN-011,STR-PH-SAW-BRAGG,screening,broadband,baseline_surrogate_v1,0.49607090643274854,sandbox_only,7,5,0.4,0.5555555555555556,0.42375000000000007,0.5833333333333334,0.33333333333333337,0.65,0.75,0.6299999999999999,
15,GEN-014,STR-VX-ANTIDOT-LATTICE,screening,broadband,baseline_surrogate_v1,0.46395386614684864,reject,2,4,0.1125,0.6666666666666667,0.1,0.5833333333333334,0.8888888888888888,0.65,0.55,0.95,below_detectability_gate
16,GEN-015,STR-3D-CAVITY-LINER,screening,broadband,baseline_surrogate_v1,0.42737166991552955,reject,3,5,0.1125,0.5555555555555556,0.1,0.5833333333333334,0.7777777777777778,0.6,0.55,0.95,below_detectability_gate
17,GEN-004,STR-EM-HKI-FENCE,screening,broadband,baseline_surrogate_v1,0.36380766731643926,reject,5,6,0.1125,0.4444444444444444,0.1,0.4666666666666666,0.5555555555555556,0.6,0.65,0.7899999999999999,below_detectability_gate
18,GEN-012,STR-QP-GAP-LATTICE,screening,broadband,baseline_surrogate_v1,0.34790448343079927,reject,4,8,0.1125,0.2222222222222222,0.1,0.5833333333333334,0.6666666666666667,0.6,0.44999999999999996,0.87,below_detectability_gate
