rank,genome_id,parent_structure_id,robustness_score,profile_sensitivity_score,mean_rank,best_rank,worst_rank,top_k_appearances,win_count,mean_score,score_stddev,slice_count
1,GEN-003,STR-EM-LID-HIS,0.9892156862745097,0.6558071580397138,1.3333333333333333,1,2,3,2,0.7826035691135985,0.004147970028366971,3
2,GEN-001,STR-EM-CPW-EBG-RING,0.9784313725490196,0.6511286702275492,1.6666666666666667,1,2,3,1,0.7780253714970918,0.0008061930196779432,3
3,GEN-002,STR-EM-CPW-EBG-RING,0.9352941176470589,0.0009873019111735668,3.0,3,3,3,0,0.7194300287439608,0.0007052156508382621,3
4,GEN-005,STR-PH-SOI-JJ-PHC,0.8813725490196079,0.17906829427619608,4.666666666666667,4,5,3,0,0.7035813887790673,0.01183449591156863,3
5,GEN-018,STR-EM-LID-HIS,0.8313725490196079,0.26724421617373045,4.666666666666667,4,6,2,0,0.7113930246319976,0.005174440124093178,3
6,GEN-007,STR-PH-SOI-FULLCAP-PHC,0.7382352941176471,0.24316677566281505,6.0,5,7,1,0,0.6882675923665306,0.018928649282963138,3
7,GEN-006,STR-PH-SOI-JJ-PHC,0.6666666666666667,0.11927766886579282,6.666666666666667,6,7,0,0,0.6791788533804357,0.007817382523185345,3
8,GEN-009,STR-PH-GRADED-SINK,0.6235294117647059,0.01062216805717687,8.0,8,8,0,0,0.6042073303407591,0.007587262897983479,3
9,GEN-010,STR-PH-GRADED-SINK,0.580392156862745,0.0786193446836218,9.333333333333334,9,10,0,0,0.5944235178534637,0.004569373186713997,3
10,GEN-016,STR-HYB-BILAYER-INTERPOSER,0.5480392156862746,0.20169849340538196,10.333333333333334,9,12,0,0,0.5722979084122316,0.01744697580903905,3
11,GEN-008,STR-PH-SOI-FULLCAP-PHC,0.5264705882352941,0.017566018377555958,11.0,11,11,0,0,0.5700759946535727,0.012547155983968543,3
12,GEN-017,STR-CTRL-BANDSTOP-INTERPOSER,0.5156862745098039,0.1267688009549537,11.333333333333334,10,12,0,0,0.5606143598135425,0.0061335591236682035,3
13,GEN-013,STR-VX-ANTIDOT-LATTICE,0.4509803921568627,0.08475494039540127,13.333333333333334,13,14,0,0,0.5068042828652964,0.02482495742528662,3
14,GEN-011,STR-PH-SAW-BRAGG,0.4294117647058824,0.09455145406468662,14.0,13,15,0,0,0.4953501384982658,0.0012102222911026862,3
15,GEN-014,STR-VX-ANTIDOT-LATTICE,0.40784313725490196,0.08178745639791693,14.666666666666666,14,15,0,0,0.46933613100794197,0.025256346406675356,3
16,GEN-015,STR-3D-CAVITY-LINER,0.3647058823529412,0.03176701188920986,16.0,16,16,0,0,0.43216331154908333,0.022690722778007044,3
17,GEN-004,STR-EM-HKI-FENCE,0.3323529411764706,0.023150921660694313,17.0,17,17,0,0,0.367431179303436,0.016536372614781653,3
18,GEN-012,STR-QP-GAP-LATTICE,0.3,0.02833160239874182,18.0,18,18,0,0,0.3525066307061506,0.02023685885624416,3
